FIPS,gop_2000_votes,dem_2000_votes,totalvotes_2000,gop_2000_prc,dem_2000_prc,gop_minus_dem_prc_2000,gop_2004_votes,dem_2004_votes,totalvotes_2004,gop_2004_prc,dem_2004_prc,gop_minus_dem_prc_2004,gop_2008_votes,dem_2008_votes,totalvotes_2008,gop_2008_prc,dem_2008_prc,gop_minus_dem_prc_2008,gop_2012_votes,dem_2012_votes,totalvotes_2012,gop_2012_prc,dem_2012_prc,gop_minus_dem_prc_2012,gop_2016_votes,dem_2016_votes,totalvotes_2016,gop_2016_prc,dem_2016_prc,gop_minus_dem_prc_2016
01041,2793.00,1934.00,4795.00,58.25,40.33,17.92,3777.00,1698.00,5500.00,68.67,30.87,37.80,4319.00,1938.00,6291.00,68.65,30.81,37.84,4331.00,2050.00,6418.00,67.48,31.94,35.54,4513.00,1664.00,6267.00,72.01,26.55,45.46
01043,19157.00,9758.00,29525.00,64.88,33.05,31.83,26818.00,8045.00,35191.00,76.21,22.86,53.35,28896.00,5864.00,35305.00,81.85,16.61,65.24,28999.00,5052.00,34457.00,84.16,14.66,69.50,32989.00,3798.00,37873.00,87.10,10.03,77.07
01045,10593.00,4906.00,15806.00,67.02,31.04,35.98,13621.00,4484.00,18231.00,74.71,24.60,50.11,13886.00,5270.00,19320.00,71.87,27.28,44.59,13108.00,5286.00,18557.00,70.64,28.49,42.15,13808.00,4413.00,18749.00,73.65,23.54,50.11
01047,7360.00,10967.00,18464.00,39.86,59.40,-19.54,7335.00,11175.00,18573.00,39.49,60.17,-20.68,6798.00,13986.00,20852.00,32.60,67.07,-34.47,6288.00,14612.00,20953.00,30.01,69.74,-39.73,5789.00,12836.00,18792.00,30.81,68.31,-37.50
01049,12827.00,7056.00,20285.00,63.23,34.78,28.45,16904.00,7092.00,24135.00,70.04,29.38,40.66,17957.00,5658.00,24015.00,74.77,23.56,51.21,18331.00,5239.00,23863.00,76.82,21.95,54.87,21405.00,3622.00,25826.00,82.88,14.02,68.86
01051,16777.00,6652.00,23804.00,70.48,27.94,42.54,22056.00,6471.00,28680.00,76.90,22.56,54.34,25777.00,8301.00,34315.00,75.12,24.19,50.93,26253.00,8954.00,35485.00,73.98,25.23,48.75,27634.00,8443.00,37260.00,74.17,22.66,51.51
01053,6975.00,4523.00,11660.00,59.82,38.79,21.03,8513.00,3814.00,12395.00,68.68,30.77,37.91,9375.00,5188.00,14674.00,63.89,35.36,28.53,9287.00,5489.00,14869.00,62.46,36.92,25.54,9935.00,4605.00,14845.00,66.92,31.02,35.90
01055,21087.00,17433.00,39348.00,53.59,44.30,9.29,26999.00,15328.00,42680.00,63.26,35.91,27.35,30595.00,13497.00,44737.00,68.39,30.17,38.22,29130.00,12803.00,42530.00,68.49,30.10,38.39,32353.00,10442.00,44164.00,73.26,23.64,49.62
01057,4582.00,3064.00,7808.00,58.68,39.24,19.44,5534.00,2408.00,8002.00,69.16,30.09,39.07,5883.00,1994.00,7957.00,73.93,25.06,48.87,6054.00,1817.00,7946.00,76.19,22.87,53.32,6712.00,1362.00,8249.00,81.37,16.51,64.86
01059,6119.00,4793.00,11103.00,55.11,43.17,11.94,7690.00,4514.00,12269.00,62.68,36.79,25.89,8048.00,3469.00,11693.00,68.83,29.67,39.16,7567.00,3171.00,10859.00,69.68,29.20,40.48,9466.00,2197.00,12040.00,78.62,18.25,60.37
01061,6588.00,2769.00,9559.00,68.92,28.97,39.95,8342.00,2113.00,10520.00,79.30,20.09,59.21,9417.00,2134.00,11657.00,80.78,18.31,62.47,9175.00,2039.00,11320.00,81.05,18.01,63.04,9994.00,1525.00,11758.00,85.00,12.97,72.03
01063,850.00,3504.00,4396.00,19.34,79.71,-60.37,958.00,3764.00,4748.00,20.18,79.28,-59.10,876.00,4408.00,5305.00,16.51,83.09,-66.58,804.00,4521.00,5340.00,15.06,84.66,-69.60,838.00,4013.00,4880.00,17.17,82.23,-65.06
01065,2984.00,4652.00,7731.00,38.60,60.17,-21.57,3281.00,4631.00,7945.00,41.30,58.29,-16.99,3200.00,4982.00,8214.00,38.96,60.65,-21.69,3210.00,5411.00,8643.00,37.14,62.61,-25.47,3173.00,4775.00,8040.00,39.47,59.39,-19.92
01067,4054.00,2782.00,6932.00,58.48,40.13,18.35,4881.00,2452.00,7361.00,66.31,33.31,33.00,5585.00,3018.00,8648.00,64.58,34.90,29.68,5628.00,3083.00,8760.00,64.25,35.19,29.06,5632.00,2292.00,8072.00,69.77,28.39,41.38
01069,22150.00,9412.00,32057.00,69.10,29.36,39.74,26874.00,9144.00,36201.00,74.24,25.26,48.98,29254.00,12225.00,41735.00,70.09,29.29,40.80,29270.00,12367.00,41918.00,69.83,29.50,40.33,30728.00,10664.00,42639.00,72.07,25.01,47.06
01071,8475.00,9066.00,17906.00,47.33,50.63,-3.30,11534.00,8635.00,20321.00,56.76,42.49,14.27,14083.00,6374.00,20874.00,67.47,30.54,36.93,14439.00,5822.00,20577.00,70.17,28.29,41.88,16672.00,3673.00,20984.00,79.45,17.50,61.95
01073,138491.00,129889.00,273763.00,50.59,47.45,3.14,158680.00,132286.00,292967.00,54.16,45.15,9.01,149921.00,166121.00,318524.00,47.07,52.15,-5.08,141683.00,159876.00,303918.00,46.62,52.60,-5.98,134768.00,156873.00,304191.00,44.30,51.57,-7.27
01075,4470.00,2653.00,7249.00,61.66,36.60,25.06,4894.00,1956.00,6885.00,71.08,28.41,42.67,5419.00,1614.00,7075.00,76.59,22.81,53.78,5457.00,1646.00,7166.00,76.15,22.97,53.18,5823.00,1036.00,6966.00,83.59,14.87,68.72
01077,17478.00,13875.00,32137.00,54.39,43.17,11.22,22161.00,14628.00,37107.00,59.72,39.42,20.30,24068.00,13329.00,38104.00,63.16,34.98,28.18,23911.00,12511.00,36924.00,64.76,33.88,30.88,27899.00,9952.00,39525.00,70.59,25.18,45.41
01079,5671.00,6296.00,12185.00,46.54,51.67,-5.13,7730.00,6155.00,14001.00,55.21,43.96,11.25,9277.00,5164.00,14680.00,63.19,35.18,28.01,8874.00,5069.00,14112.00,62.88,35.92,26.96,10833.00,3627.00,14829.00,73.05,24.46,48.59
01081,22433.00,14574.00,38264.00,58.63,38.09,20.54,27972.00,16227.00,44610.00,62.70,36.38,26.32,32230.00,21498.00,54325.00,59.33,39.57,19.76,32194.00,21381.00,54359.00,59.22,39.33,19.89,34617.00,21230.00,59191.00,58.48,35.87,22.61
01083,14204.00,8992.00,23634.00,60.10,38.05,22.05,19702.00,9126.00,29073.00,67.77,31.39,36.38,23598.00,9536.00,33551.00,70.33,28.42,41.91,25295.00,9829.00,35459.00,71.34,27.72,43.62,29067.00,9468.00,40294.00,72.14,23.50,48.64
01085,1638.00,4557.00,6243.00,26.24,72.99,-46.75,1786.00,4233.00,6021.00,29.66,70.30,-40.64,1809.00,5449.00,7278.00,24.86,74.87,-50.01,1756.00,5747.00,7521.00,23.35,76.41,-53.06,1751.00,4883.00,6684.00,26.20,73.06,-46.86
01087,1091.00,7665.00,8831.00,12.35,86.80,-74.45,1570.00,7800.00,9407.00,16.69,82.92,-66.23,1396.00,9450.00,10877.00,12.83,86.88,-74.05,1331.00,9045.00,10394.00,12.81,87.02,-74.21,1431.00,7566.00,9140.00,15.66,82.78,-67.12
01089,62151.00,48199.00,113318.00,54.85,42.53,12.32,77173.00,52644.00,131062.00,58.88,40.17,18.71,86965.00,64117.00,152899.00,56.88,41.93,14.95,90884.00,62015.00,155059.00,58.61,39.99,18.62,89520.00,62822.00,163389.00,54.79,38.45,16.34
01091,4690.00,4841.00,9608.00,48.81,50.39,-1.58,5255.00,5037.00,10322.00,50.91,48.80,2.11,5516.00,5926.00,11471.00,48.09,51.66,-3.57,5336.00,6167.00,11537.00,46.25,53.45,-7.20,5233.00,5615.00,10994.00,47.60,51.07,-3.47
01093,6910.00,4600.00,11756.00,58.78,39.13,19.65,8983.00,3808.00,12875.00,69.77,29.58,40.19,9536.00,2600.00,12355.00,77.18,21.04,56.14,9697.00,2249.00,12105.00,80.11,18.58,61.53,11274.00,1432.00,12984.00,86.83,11.03,75.80
01095,17084.00,10381.00,27989.00,61.04,37.09,23.95,22783.00,8452.00,31491.00,72.35,26.84,45.51,25727.00,7038.00,33166.00,77.57,21.22,56.35,25867.00,6299.00,32566.00,79.43,19.34,60.09,29233.00,4917.00,35316.00,82.78,13.92,68.86
01097,78162.00,58640.00,139745.00,55.93,41.96,13.97,92014.00,63732.00,156771.00,58.69,40.65,18.04,98049.00,82181.00,181424.00,54.04,45.30,8.74,94893.00,78760.00,174864.00,54.27,45.04,9.23,95116.00,72186.00,172737.00,55.06,41.79,13.27
01099,5153.00,3741.00,8951.00,57.57,41.79,15.78,5831.00,3666.00,9534.00,61.16,38.45,22.71,6175.00,5025.00,11252.00,54.88,44.66,10.22,5741.00,4914.00,10708.00,53.61,45.89,7.72,5795.00,4332.00,10271.00,56.42,42.18,14.24
01101,38827.00,40371.00,80328.00,48.34,50.26,-1.92,44097.00,45160.00,89650.00,49.19,50.37,-1.18,42031.00,62166.00,104743.00,40.13,59.35,-19.22,38332.00,63085.00,101924.00,37.61,61.89,-24.28,34003.00,58916.00,95878.00,35.46,61.45,-25.99
01103,25774.00,16060.00,42681.00,60.39,37.63,22.76,32477.00,14131.00,47007.00,69.09,30.06,39.03,36014.00,13895.00,50542.00,71.26,27.49,43.77,35391.00,13439.00,49323.00,71.75,27.25,44.50,37486.00,11254.00,50644.00,74.02,22.22,51.80
01105,1732.00,4020.00,5787.00,29.93,69.47,-39.54,1738.00,3767.00,5523.00,31.47,68.21,-36.74,1679.00,4457.00,6159.00,27.26,72.37,-45.11,1506.00,4568.00,6099.00,24.69,74.90,-50.21,1407.00,3824.00,5278.00,26.66,72.45,-45.79
01107,4306.00,4143.00,8540.00,50.42,48.51,1.91,5170.00,3915.00,9132.00,56.61,42.87,13.74,5434.00,4594.00,10067.00,53.98,45.63,8.35,5124.00,4455.00,9611.00,53.31,46.35,6.96,5456.00,3972.00,9542.00,57.18,41.63,15.55
