state,state_po,FIPS,gop_1976_votes,dem_1976_votes,totalvotes_1976,gop_1976_prc,dem_1976_prc,gop_minus_dem_prc_1976,gop_1980_votes,dem_1980_votes,totalvotes_1980,gop_1980_prc,dem_1980_prc,gop_minus_dem_prc_1980,gop_1984_votes,dem_1984_votes,totalvotes_1984,gop_1984_prc,dem_1984_prc,gop_minus_dem_prc_1984,gop_1988_votes,dem_1988_votes,totalvotes_1988,gop_1988_prc,dem_1988_prc,gop_minus_dem_prc_1988,gop_1992_votes,dem_1992_votes,totalvotes_1992,gop_1992_prc,dem_1992_prc,gop_minus_dem_prc_1992,gop_1996_votes,dem_1996_votes,totalvotes_1996,gop_1996_prc,dem_1996_prc,gop_minus_dem_prc_1996,gop_2000_votes,dem_2000_votes,totalvotes_2000,gop_2000_prc,dem_2000_prc,gop_minus_dem_prc_2000,gop_2004_votes,dem_2004_votes,totalvotes_2004,gop_2004_prc,dem_2004_prc,gop_minus_dem_prc_2004,gop_2008_votes,dem_2008_votes,totalvotes_2008,gop_2008_prc,dem_2008_prc,gop_minus_dem_prc_2008,gop_2012_votes,dem_2012_votes,totalvotes_2012,gop_2012_prc,dem_2012_prc,gop_minus_dem_prc_2012,gop_2016_votes,dem_2016_votes,totalvotes_2016,gop_2016_prc,dem_2016_prc,gop_minus_dem_prc_2016,gop_2020_votes,dem_2020_votes,totalvotes_2020,gop_2020_prc,dem_2020_prc,gop_minus_dem_prc_2020
MARYLAND,MD,24,672661,759612,1432273,46.96,53.04,-6.08,680606,726161,1540496,44.18,47.14,-2.96,879918,787935,1675873,52.51,47.02,5.49,876167,826304,1714358,51.11,48.20,2.91,707094,988571,1984580,35.63,49.81,-14.18,681530,966207,1780870,38.27,54.25,-15.98,813827,1144008,2025212,40.18,56.49,-16.31,1024703,1334493,2384238,42.98,55.97,-12.99,959862,1629467,2631596,36.47,61.92,-25.45,971869.00,1677844,2707327,35.90,61.97,-26.07,943428,1678006,5562892,16.96,30.16,-13.20,976414,1985023,3037030,32.15,65.36,-33.21
MASSACHUSETTS,MA,25,1030276,1429475,2547558,40.44,56.11,-15.67,1057631,1053802,2524090,41.90,41.75,0.15,1310936,1239606,2559383,51.22,48.43,2.79,1194635,1401415,2632801,45.38,53.23,-7.85,805039,1318639,2773664,29.02,47.54,-18.52,718058,1571509,2556459,28.09,61.47,-33.38,878502,1616487,2733964,32.13,59.13,-27.00,1071109,1803800,2927455,36.59,61.62,-25.03,1108854,1904097,3102995,35.73,61.36,-25.63,1188314.00,1921290,3184196,37.32,60.34,-23.02,1090893,1995196,3378821,32.29,59.05,-26.76,1167202,2382202,3658005,31.91,65.12,-33.21
MICHIGAN,MI,26,1893742,1696714,3651590,51.86,46.47,5.39,1915225,1661532,3909725,48.99,42.50,6.49,2251571,1529638,3801658,59.23,40.24,18.99,1965486,1675783,3669163,53.57,45.67,7.90,1554940,1871182,4274673,36.38,43.77,-7.39,1481212,1989653,3848844,38.48,51.69,-13.21,1953139,2170418,4232501,46.15,51.28,-5.13,2313746,2479183,4839252,47.81,51.23,-3.42,2048639,2872579,5001596,40.96,57.43,-16.47,2115256.00,2564569,4730961,44.71,54.21,-9.50,2279543,2268839,4799284,47.50,47.27,0.23,2649852,2804040,5539302,47.84,50.62,-2.78
MINNESOTA,MN,27,819395,1070440,1949931,42.02,54.90,-12.88,873268,954173,2051916,42.56,46.50,-3.94,1032603,1036364,2084449,49.54,49.72,-0.18,962337,1109471,2096790,45.90,52.91,-7.01,747841,1020997,2347948,31.85,43.48,-11.63,766395,1120380,2192492,34.96,51.10,-16.14,1109659,1168266,2438685,45.50,47.91,-2.41,1346695,1445014,2828387,47.61,51.09,-3.48,1275409,1573354,2910369,43.82,54.06,-10.24,1320225.00,1546167,2936561,44.96,52.65,-7.69,1322949,1367705,2944782,44.93,46.45,-1.52,1484065,1717077,3277171,45.28,52.40,-7.12
MISSISSIPPI,MS,28,366846,381329,768390,47.74,49.63,-1.89,441089,429281,891750,49.46,48.14,1.32,582377,352192,941104,61.88,37.42,24.46,557890,363921,931527,59.89,39.07,20.82,487793,400258,981793,49.68,40.77,8.91,439838,394022,893857,49.21,44.08,5.13,572844,404614,994184,57.62,40.70,16.92,672660,457766,1139824,59.01,40.16,18.85,724597,554662,1289865,56.18,43.00,13.18,710746.00,562949,1285584,55.29,43.79,11.50,700714,485131,1209357,57.94,40.11,17.83,756764,539398,1313759,57.60,41.06,16.54
MISSOURI,MO,29,927443,998387,1953600,47.47,51.10,-3.63,1074181,931182,2099824,51.16,44.35,6.81,1274188,848583,2122771,60.02,39.98,20.04,1084953,1001619,2093228,51.83,47.85,3.98,811159,1053873,2391270,33.92,44.07,-10.15,890016,1025935,2158065,41.24,47.54,-6.30,1189924,1111138,2359892,50.42,47.08,3.34,1455713,1259171,2731364,53.30,46.10,7.20,1445814,1441911,2925205,49.43,49.29,0.14,1482440.00,1223796,2757323,53.76,44.38,9.38,1594511,1071068,2808605,56.77,38.14,18.63,1718736,1253014,3025962,56.80,41.41,15.39
MONTANA,MT,30,173703,149259,328734,52.84,45.40,7.44,206814,118032,363952,56.82,32.43,24.39,232450,146742,384377,60.47,38.18,22.29,190412,168936,365674,52.07,46.20,5.87,144207,154507,410583,35.12,37.63,-2.51,179652,167922,407083,44.13,41.25,2.88,240178,137126,410986,58.44,33.37,25.07,266063,173710,450434,59.07,38.57,20.50,242763,231667,490109,49.53,47.27,2.26,267928.00,201839,484048,55.35,41.70,13.65,279240,177709,494526,56.47,35.94,20.53,343602,244786,603674,56.92,40.55,16.37
NEBRASKA,NE,31,359219,233293,606749,59.20,38.45,20.75,419214,166424,639533,65.55,26.02,39.53,460054,187866,652090,70.55,28.81,41.74,397956,259235,661465,60.16,39.19,20.97,343678,216864,737546,46.60,29.40,17.20,363467,236761,677415,53.65,34.95,18.70,433862,231780,697019,62.25,33.25,29.00,512814,254328,778186,65.90,32.68,33.22,452979,333319,801281,56.53,41.60,14.93,475064.00,302081,794379,59.80,38.03,21.77,495961,284494,844227,58.75,33.70,25.05,556846,374583,956383,58.22,39.17,19.05
NEVADA,NV,32,101273,92479,201876,50.17,45.81,4.36,155017,66666,243692,63.61,27.36,36.25,188770,91655,282717,66.77,32.42,34.35,206040,132738,343133,60.05,38.68,21.37,175828,189148,506318,34.73,37.36,-2.63,199244,203974,464279,42.91,43.93,-1.02,301575,279978,609426,49.49,45.94,3.55,418690,397190,829587,50.47,47.88,2.59,412827,533736,967848,42.65,55.15,-12.50,463567.00,531373,1014918,45.68,52.36,-6.68,512058,539260,1125385,45.50,47.92,-2.42,669890,703486,1405376,47.67,50.06,-2.39
NEW HAMPSHIRE,NH,33,185935,147645,339627,54.75,43.47,11.28,221705,108864,383990,57.74,28.35,29.39,267050,120347,388904,68.67,30.95,37.72,281537,163696,450525,62.49,36.33,26.16,202484,209040,537215,37.69,38.91,-1.22,196486,246166,496597,39.57,49.57,-10.00,273559,266348,569081,48.07,46.80,1.27,331237,340511,678287,48.83,50.20,-1.37,316534,384826,710970,44.52,54.13,-9.61,329918.00,369561,710972,46.40,51.98,-5.58,345790,348526,744296,46.46,46.83,-0.37,365654,424921,806182,45.36,52.71,-7.35
NEW JERSEY,NJ,34,1509688,1444653,3014472,50.08,47.92,2.16,1546557,1147364,2975684,51.97,38.56,13.41,1933630,1261323,3217862,60.09,39.20,20.89,1743192,1320352,3099553,56.24,42.60,13.64,1356865,1436206,3343594,40.58,42.95,-2.37,1103099,1652361,3075860,35.86,53.72,-17.86,1284173,1788850,3187226,40.29,56.13,-15.84,1670003,1911430,3611691,46.24,52.92,-6.68,1613207,2215422,3868237,41.70,57.27,-15.57,1478088.00,2122786,3638499,40.62,58.34,-17.72,1601933,2148278,3874046,41.35,55.45,-14.10,1883274,2608335,4549353,41.40,57.33,-15.93
NEW MEXICO,NM,35,211419,201148,416590,50.75,48.28,2.47,250779,167826,456237,54.97,36.78,18.19,307101,201769,514370,59.70,39.23,20.47,270341,244497,521387,51.85,46.89,4.96,212824,261617,569986,37.34,45.90,-8.56,232751,273495,556074,41.86,49.18,-7.32,286417,286783,598605,47.85,47.91,-0.06,376930,370942,756304,49.84,49.05,0.79,346832,472422,830158,41.78,56.91,-15.13,335788.00,415335,783758,42.84,52.99,-10.15,319667,385234,798319,40.04,48.26,-8.22,401894,501614,923965,43.50,54.29,-10.79
NEW YORK,NY,36,3100791,3389558,13336524,23.25,25.42,-2.17,2893831,2728372,6201959,46.66,43.99,2.67,3664763,3119609,13613620,26.92,22.92,4.00,3081871,3347882,12971366,23.76,25.81,-2.05,2346649,3444450,14158864,16.57,24.33,-7.76,1933492,3756177,12878258,15.01,29.17,-14.16,2403374,4107697,20880645,11.51,19.67,-8.16,2962567,4314280,14896532,19.89,28.96,-9.07,2752771,4804945,15444038,17.82,31.11,-13.29,2485432.00,4471871,14233568,17.46,31.42,-13.96,2819534,4556124,23406252,12.05,19.47,-7.42,3244798,5230985,8661735,37.46,60.39,-22.93
NORTH CAROLINA,NC,37,741960,927365,1677906,44.22,55.27,-11.05,915018,875635,1855833,49.30,47.18,2.12,1346481,824287,2175361,61.90,37.89,24.01,1237258,890167,2134370,57.97,41.71,16.26,1134661,1114042,2611850,43.44,42.65,0.79,1225938,1107849,2515807,48.73,44.04,4.69,1631163,1257692,2914990,55.96,43.15,12.81,1961166,1525849,3501007,56.02,43.58,12.44,2128474,2142651,4310851,49.37,49.70,-0.33,2270395.00,2178391,4505372,50.39,48.35,2.04,2362631,2189316,4741564,49.83,46.17,3.66,2758773,2684292,5524802,49.93,48.59,1.34
NORTH DAKOTA,ND,38,153684,136078,297308,51.69,45.77,5.92,193695,79189,301116,64.33,26.30,38.03,200336,104429,308971,64.84,33.80,31.04,166559,127739,297261,56.03,42.97,13.06,136244,99168,308133,44.22,32.18,12.04,125050,106905,266411,46.94,40.13,6.81,174852,95284,288256,60.66,33.06,27.60,196651,111052,312833,62.86,35.50,27.36,168601,141278,316621,53.25,44.62,8.63,188320.00,124966,322932,58.32,38.70,19.62,216794,93758,344360,62.96,27.23,35.73,235595,114902,361819,65.11,31.76,33.35
OHIO,OH,39,2000626,2009959,4110456,48.67,48.90,-0.23,2206545,1752414,4283603,51.51,40.91,10.60,2678559,1825440,4563235,58.70,40.00,18.70,2416549,1939629,4393585,55.00,44.15,10.85,1894310,1984942,4939967,38.35,40.18,-1.83,1859883,2148222,4534434,41.02,47.38,-6.36,2350363,2183628,4701998,49.99,46.44,3.55,2859764,2741165,5627903,50.81,48.71,2.10,2677820,2940044,5708350,46.91,51.50,-4.59,2661407.00,2827621,5580822,47.69,50.67,-2.98,2841005,2394164,5496487,51.69,43.56,8.13,3154834,2679165,5922202,53.27,45.24,8.03
OKLAHOMA,OK,40,545708,532442,1092251,49.96,48.75,1.21,695570,402026,1149708,60.50,34.97,25.53,861530,385080,1255676,68.61,30.67,37.94,678367,483423,1171036,57.93,41.28,16.65,592929,473066,1390359,42.65,34.02,8.63,582315,488105,1206713,48.26,40.45,7.81,744337,474276,1234229,60.31,38.43,21.88,959792,503966,1463758,65.57,34.43,31.14,960165,502496,1462661,65.65,34.35,31.30,891325.00,443547,1334872,66.77,33.23,33.54,949136,420375,1452992,65.32,28.93,36.39,1020280,503890,1560699,65.37,32.29,33.08
OREGON,OR,41,492120,490407,1029876,47.78,47.62,0.16,571044,456890,1181516,48.33,38.67,9.66,685700,536479,1226527,55.91,43.74,12.17,560126,616206,1201694,46.61,51.28,-4.67,475757,621314,1462643,32.53,42.48,-9.95,538152,649641,1377760,39.06,47.15,-8.09,713577,720342,1533950,46.52,46.96,-0.44,866831,943163,1836782,47.19,51.35,-4.16,738475,1037291,1827864,40.40,56.75,-16.35,754175.00,970488,1789270,42.15,54.24,-12.09,782403,1002106,2001336,39.09,50.07,-10.98,958448,1340383,2374321,40.37,56.45,-16.08
PENNSYLVANIA,PA,42,2205604,2328677,4620787,47.73,50.40,-2.67,2261872,1937540,4561501,49.59,42.48,7.11,2584323,2228131,4844903,53.34,45.99,7.35,2300087,2194944,4536251,50.70,48.39,2.31,1791841,2239164,4959810,36.13,45.15,-9.02,1801169,2215819,4501307,40.01,49.23,-9.22,2281127,2485967,4912185,46.44,50.61,-4.17,2793847,2938095,5769590,48.42,50.92,-2.50,2655885,3276363,6013272,44.17,54.49,-10.32,2680434.00,2990274,5742040,46.68,52.08,-5.40,2970733,2926441,6115402,48.58,47.85,0.73,3377674,3458229,6915283,48.84,50.01,-1.17
RHODE ISLAND,RI,44,181249,227636,410584,44.14,55.44,-11.30,154793,198342,415967,37.21,47.68,-10.47,212080,197106,410489,51.67,48.02,3.65,177761,225123,404622,43.93,55.64,-11.71,131601,213299,453365,29.03,47.05,-18.02,104683,233050,390247,26.82,59.72,-32.90,130555,249508,409112,31.91,60.99,-29.08,169046,259760,437134,38.67,59.42,-20.75,165391,296571,471766,35.06,62.86,-27.80,157204.00,279677,446049,35.24,62.70,-27.46,180543,252525,464144,38.90,54.41,-15.51,199922,307486,516990,38.67,59.48,-20.81
