FIPS,gop_2000_votes,dem_2000_votes,totalvotes_2000,gop_2000_prc,dem_2000_prc,gop_minus_dem_prc_2000,gop_2004_votes,dem_2004_votes,totalvotes_2004,gop_2004_prc,dem_2004_prc,gop_minus_dem_prc_2004,gop_2008_votes,dem_2008_votes,totalvotes_2008,gop_2008_prc,dem_2008_prc,gop_minus_dem_prc_2008,gop_2012_votes,dem_2012_votes,totalvotes_2012,gop_2012_prc,dem_2012_prc,gop_minus_dem_prc_2012,gop_2016_votes,dem_2016_votes,totalvotes_2016,gop_2016_prc,dem_2016_prc,gop_minus_dem_prc_2016,gop_2020_votes,dem_2020_votes,totalvotes_2020,gop_2020_prc,dem_2020_prc,gop_minus_dem_prc_2020,gop_2024_votes,dem_2024_votes,totalvotes_2024,gop_2024_prc,dem_2024_prc,gop_minus_dem_prc_2024
17,2019421.00,2589026.00,4742123.00,42.58,54.60,-12.01,2346608.00,2891989.00,5275415.00,44.48,54.82,-10.34,2031527.00,3419673.00,5523051.00,36.78,61.92,-25.13,2135102.00,3019512.00,5241891.00,40.73,57.60,-16.87,2146015.00,3090729.00,5558707.00,38.61,55.60,-17.00,2446891.00,3471915.00,6033744.00,40.55,57.54,-16.99,2449079.00,3062863.00,5633310.00,43.47,54.37,-10.90
18,1245836.00,901980.00,2199305.00,56.65,41.01,15.63,1479438.00,969011.00,2468002.00,59.94,39.26,20.68,1345648.00,1374039.00,2751054.00,48.91,49.95,-1.03,1420543.00,1152887.00,2624534.00,54.13,43.93,10.20,1557286.00,1033126.00,2734958.00,56.94,37.77,19.17,1729519.00,1242416.00,3033121.00,57.02,40.96,16.06,1720347.00,1163603.00,2936677.00,58.58,39.62,18.96
19,634373.00,638517.00,1315563.00,48.22,48.54,-0.31,751957.00,741898.00,1506908.00,49.90,49.23,0.67,682379.00,828940.00,1536820.00,44.40,53.94,-9.54,730617.00,822544.00,1582180.00,46.18,51.99,-5.81,800983.00,653669.00,1566031.00,51.15,41.74,9.41,902009.00,759061.00,3381742.00,26.67,22.45,4.23,1854038.00,1413835.00,9978873.00,18.58,14.17,4.41
20,622332.00,399276.00,1072216.00,58.04,37.24,20.80,736456.00,434993.00,1187756.00,62.00,36.62,25.38,699655.00,514765.00,1235872.00,56.61,41.65,14.96,689809.00,439908.00,1156254.00,59.66,38.05,21.61,671018.00,427005.00,1184403.00,56.65,36.05,20.60,771406.00,570323.00,1372303.00,56.21,41.56,14.65,758802.00,544853.00,1327591.00,57.16,41.04,16.12
21,872492.00,638898.00,1544187.00,56.50,41.37,15.13,1069439.00,712733.00,1795860.00,59.55,39.69,19.86,1048462.00,751985.00,1826508.00,57.40,41.17,16.23,1087190.00,679370.00,1797212.00,60.49,37.80,22.69,1202971.00,628854.00,1924149.00,62.52,32.68,29.84,1326418.00,772285.00,2134996.00,62.13,36.17,25.95,1337494.00,704043.00,2074530.00,64.47,33.94,30.53
22,927871.00,792344.00,1765656.00,52.55,44.88,7.68,1102169.00,820299.00,1943106.00,56.72,42.22,14.51,1148015.00,781574.00,1959085.00,58.60,39.89,18.70,1152262.00,809141.00,1994065.00,57.78,40.58,17.21,1178638.00,780154.00,2029032.00,58.09,38.45,19.64,1255776.00,856034.00,2148062.00,58.46,39.85,18.61,1799142.00,1133303.00,8924922.00,20.16,12.70,7.46
23,286616.00,319951.00,651817.00,43.97,49.09,-5.11,308997.00,364153.00,686510.00,45.01,53.04,-8.03,295273.00,421923.00,731163.00,40.38,57.71,-17.32,291418.00,399235.00,710126.00,41.04,56.22,-15.18,334945.00,354718.00,743941.00,45.02,47.68,-2.66,359899.00,430473.00,822534.00,43.75,52.33,-8.58,376991.00,430342.00,824806.00,45.71,52.17,-6.47
24,813797.00,1145782.00,2025480.00,40.18,56.57,-16.39,1024703.00,1334493.00,2386678.00,42.93,55.91,-12.98,959862.00,1629467.00,2631596.00,36.47,61.92,-25.44,971869.00,1677844.00,2707327.00,35.90,61.97,-26.08,943169.00,1677928.00,2781446.00,33.91,60.33,-26.42,976414.00,1985023.00,15185155.00,6.43,13.07,-6.64,1035550.00,1902577.00,3038334.00,34.08,62.62,-28.54
25,878502.00,1616487.00,2702984.00,32.50,59.80,-27.30,1071109.00,1803800.00,2912388.00,36.78,61.94,-25.16,1108885.00,1904103.00,3081336.00,35.99,61.79,-25.81,1188314.00,1921290.00,3167767.00,37.51,60.65,-23.14,1090893.00,1995196.00,3274555.00,33.31,60.93,-27.62,1167202.00,2382202.00,3658005.00,31.91,65.12,-33.21,1251303.00,2126518.00,3473668.00,36.02,61.22,-25.20
26,1953139.00,2170418.00,4232711.00,46.14,51.28,-5.13,2313746.00,2479183.00,4839252.00,47.81,51.23,-3.42,2048639.00,2872579.00,5001766.00,40.96,57.43,-16.47,2115256.00,2564569.00,4730961.00,44.71,54.21,-9.50,2279543.00,2268839.00,4799284.00,47.50,47.27,0.22,2649852.00,2804040.00,5539302.00,47.84,50.62,-2.78,2816636.00,2736533.00,5664186.00,49.73,48.31,1.41
27,1109659.00,1168266.00,2438685.00,45.50,47.91,-2.40,1346451.00,1444751.00,2827850.00,47.61,51.09,-3.48,1275409.00,1573354.00,2910369.00,43.82,54.06,-10.24,1320225.00,1546167.00,2936561.00,44.96,52.65,-7.69,1322951.00,1367716.00,2944813.00,44.92,46.44,-1.52,1484065.00,1717077.00,3277171.00,45.28,52.40,-7.11,1519032.00,1656979.00,3253920.00,46.68,50.92,-4.24
28,573230.00,404964.00,994926.00,57.62,40.70,16.91,666295.00,440034.00,1114859.00,59.76,39.47,20.30,724497.00,554662.00,1285259.00,56.37,43.16,13.21,710746.00,562949.00,1285584.00,55.29,43.79,11.50,700714.00,485131.00,1209357.00,57.94,40.11,17.83,756764.00,539398.00,1313759.00,57.60,41.06,16.55,747744.00,466668.00,1228008.00,60.89,38.00,22.89
29,1189924.00,1111138.00,2359892.00,50.42,47.08,3.34,1455713.00,1259171.00,2731364.00,53.30,46.10,7.20,1445814.00,1441911.00,2925205.00,49.43,49.29,0.13,1482440.00,1223796.00,2757312.00,53.76,44.38,9.38,1594511.00,1071068.00,2807381.00,56.80,38.15,18.65,1718736.00,1253014.00,3025962.00,56.80,41.41,15.39,1725761.00,1104939.00,2871039.00,60.11,38.49,21.62
30,240178.00,137126.00,410986.00,58.44,33.37,25.07,266063.00,173710.00,450434.00,59.07,38.57,20.50,243860.00,232156.00,496072.00,49.16,46.80,2.36,267928.00,201839.00,483932.00,55.36,41.71,13.66,279240.00,177709.00,497147.00,56.17,35.75,20.42,343602.00,244786.00,603640.00,56.92,40.55,16.37,352079.00,231906.00,602963.00,58.39,38.46,19.93
31,433862.00,231780.00,697019.00,62.25,33.25,28.99,512814.00,254328.00,778186.00,65.90,32.68,33.22,452979.00,333319.00,801281.00,56.53,41.60,14.93,475064.00,302081.00,794379.00,59.80,38.03,21.78,495961.00,284494.00,844227.00,58.75,33.70,25.05,556846.00,374583.00,951712.00,58.51,39.36,19.15,564816.00,369995.00,947159.00,59.63,39.06,20.57
32,301575.00,279978.00,608970.00,49.52,45.98,3.55,418690.00,397190.00,829587.00,50.47,47.88,2.59,412827.00,533736.00,967848.00,42.65,55.15,-12.49,463567.00,531373.00,1014918.00,45.68,52.36,-6.68,512058.00,539260.00,1125385.00,45.50,47.92,-2.42,669608.00,703314.00,1404911.00,47.66,50.06,-2.40,751205.00,705197.00,1484840.00,50.59,47.49,3.10
