FIPS,Median household income - Household Income_2012,Median household income - Household Income_2013,Median household income - Household Income_2014
37089,43589.0,46165.0,45168.0
37091,32410.0,31581.0,31861.0
37093,43679.0,42908.0,44717.0
37095,35206.0,35810.0,35301.0
37097,46576.0,49902.0,49666.0
37099,36741.0,37388.0,37049.0
37101,46922.0,48380.0,48773.0
37103,38578.0,38230.0,35159.0
37105,41999.0,41506.0,43424.0
37107,36455.0,32602.0,35634.0
37109,45332.0,50746.0,47799.0
37111,34383.0,35627.0,36584.0
37113,36229.0,36953.0,36438.0
37115,36158.0,36724.0,37644.0
37117,34814.0,33305.0,33159.0
37119,52363.0,52111.0,55392.0
37121,35032.0,35322.0,36210.0
37123,34608.0,30684.0,35272.0
37125,47705.0,47301.0,49670.0
37127,42315.0,43151.0,40937.0
37129,46129.0,45890.0,50890.0
37131,32168.0,31668.0,31217.0
37133,41969.0,45434.0,44263.0
37135,51434.0,56792.0,53026.0
37137,41442.0,41325.0,41004.0
37139,39381.0,40261.0,43935.0
37141,43573.0,44171.0,43318.0
37143,40772.0,39112.0,42494.0
37145,42621.0,42303.0,42546.0
37147,39519.0,39713.0,39343.0
37149,44756.0,41851.0,41719.0
37151,39648.0,40749.0,41815.0
37153,31568.0,32932.0,30726.0
37155,30627.0,30931.0,29965.0
37157,38063.0,36746.0,37577.0
37159,38658.0,40267.0,40400.0
37161,35057.0,35208.0,34193.0
37163,37047.0,36471.0,37420.0
37165,31805.0,32999.0,31704.0
37167,42854.0,38301.0,42816.0
37169,43178.0,42147.0,42272.0
37171,36622.0,35269.0,36934.0
37173,36109.0,36167.0,36280.0
37175,40652.0,41578.0,40642.0
37177,31732.0,33430.0,30728.0
37179,64486.0,61515.0,61260.0
37181,34000.0,33377.0,34371.0
37183,61594.0,62436.0,64107.0
37185,32574.0,33218.0,33068.0
37187,33293.0,33278.0,32545.0
37189,38923.0,39168.0,38563.0
37191,40274.0,39089.0,38776.0
37193,34886.0,34954.0,35362.0
37195,36645.0,37166.0,37440.0
37197,41095.0,40983.0,40012.0
37199,36934.0,36440.0,36019.0
38001,40082.0,43836.0,45829.0
38003,45884.0,47839.0,50820.0
38005,32884.0,38299.0,36435.0
38007,50921.0,60506.0,65346.0
38009,48504.0,52360.0,50756.0
38011,49656.0,56721.0,56238.0
38013,49575.0,49481.0,53347.0
38015,55565.0,57519.0,62104.0
38017,50932.0,52444.0,51995.0
38019,47456.0,50572.0,56685.0
38021,42517.0,47501.0,50978.0
38023,48992.0,51219.0,53885.0
38025,49682.0,55353.0,62424.0
38027,39557.0,43249.0,42908.0
38029,36823.0,40749.0,42018.0
38031,46599.0,49333.0,49499.0
38033,38425.0,44706.0,44583.0
38035,45258.0,45541.0,44376.0
38037,33842.0,35744.0,38524.0
38039,42126.0,45283.0,45679.0
38041,42943.0,46793.0,48179.0
38043,34978.0,39857.0,40749.0
38045,50019.0,52242.0,55359.0
38047,38380.0,40760.0,45334.0
38049,40157.0,44981.0,44266.0
38051,34285.0,36642.0,40068.0
38053,51641.0,59000.0,67995.0
38055,52457.0,50902.0,52584.0
38057,63921.0,67449.0,64477.0
38059,49798.0,58330.0,54909.0
38061,49694.0,52930.0,59583.0
38063,41291.0,43426.0,46292.0
38065,55742.0,59262.0,60116.0
38067,48378.0,54584.0,48649.0
38069,38030.0,41419.0,43499.0
38071,44795.0,46624.0,50457.0
38073,48302.0,51812.0,51628.0
38075,56123.0,52982.0,55232.0
38077,48821.0,51860.0,55420.0
38079,31725.0,33024.0,36158.0
38081,49830.0,58138.0,56119.0
38083,35771.0,40593.0,39505.0
38085,28338.0,30271.0,31337.0
38087,47210.0,52493.0,52645.0
38089,49736.0,55492.0,63886.0
38091,52558.0,54695.0,57257.0
38093,46466.0,49519.0,46485.0
38095,47502.0,52376.0,52033.0
38097,50061.0,53388.0,51218.0
38099,46938.0,46802.0,47425.0
38101,46952.0,53157.0,56647.0
38103,42540.0,47328.0,48422.0
38105,56689.0,67492.0,79265.0
39001,33549.0,34778.0,34955.0
39003,41196.0,41453.0,42173.0
39005,41734.0,44950.0,44748.0
39007,38762.0,38683.0,37811.0
39009,35557.0,33943.0,33950.0
39011,50103.0,51130.0,51769.0
39013,37913.0,40300.0,42176.0
39015,41892.0,43181.0,44209.0
39017,54359.0,53275.0,55599.0
39019,39414.0,40896.0,42540.0
39021,46577.0,48063.0,48826.0
39023,40524.0,41704.0,40783.0
39025,56628.0,55963.0,54179.0
39027,44324.0,44905.0,42640.0
39029,36985.0,42091.0,42782.0
39031,37227.0,40282.0,42035.0
39033,39467.0,39679.0,40493.0
39035,41407.0,41609.0,41954.0
39037,42023.0,42065.0,44554.0
39039,45792.0,49360.0,46382.0
39041,85628.0,86980.0,87470.0
39043,43935.0,46613.0,46307.0
39045,55805.0,58829.0,58884.0
39047,40250.0,36684.0,42100.0
39049,47621.0,47174.0,50053.0
39051,49909.0,49038.0,50658.0
39053,37923.0,36441.0,38397.0
39055,63172.0,66088.0,69214.0
39057,52056.0,56683.0,54038.0
39059,35654.0,36348.0,38353.0
39061,46359.0,46125.0,46952.0
39063,49918.0,48258.0,49866.0
39065,40710.0,37914.0,42023.0
39067,36074.0,37057.0,39801.0
39069,46136.0,48859.0,51036.0
39071,38643.0,36865.0,38847.0
39073,40017.0,42491.0,38927.0
39075,39917.0,45893.0,43624.0
39077,44632.0,48196.0,46303.0
39079,36791.0,39144.0,37020.0
39081,36800.0,41103.0,40114.0
39083,46937.0,50929.0,44133.0
39085,52854.0,53016.0,55149.0
39087,36551.0,37666.0,38790.0
39089,51247.0,54298.0,52678.0
39091,44436.0,48011.0,45397.0
39093,50092.0,48733.0,49758.0
39095,39200.0,38798.0,40759.0
39097,48295.0,54107.0,53445.0
39099,38205.0,39447.0,39982.0
39101,41314.0,42141.0,43315.0
39103,63582.0,60527.0,65670.0
39105,33194.0,33520.0,34978.0
39107,48521.0,47994.0,52060.0
39109,49195.0,48103.0,52622.0
39111,38015.0,39007.0,42902.0
39113,40885.0,41001.0,42859.0
39115,35634.0,35173.0,35748.0
39117,47080.0,47431.0,50904.0
39119,40485.0,38652.0,39814.0
39121,38013.0,41151.0,40405.0
39123,50707.0,51641.0,51216.0
39125,43791.0,41946.0,44453.0
39127,39387.0,39383.0,40590.0
39129,49926.0,52161.0,54540.0
39131,35051.0,37802.0,36819.0
39133,49287.0,49712.0,52249.0
39135,47615.0,45920.0,46298.0
39137,53920.0,57039.0,57079.0
39139,41462.0,40424.0,41772.0
39141,41318.0,43118.0,43285.0
39143,44346.0,44016.0,46274.0
39145,35860.0,31987.0,36379.0
39147,42642.0,38349.0,43899.0
39149,46062.0,53028.0,53390.0
39151,42805.0,42190.0,45626.0
39153,45768.0,46595.0,48836.0
39155,40389.0,40913.0,41253.0
39157,39580.0,41857.0,43546.0
39159,63233.0,64403.0,63378.0
39161,44338.0,46717.0,45024.0
39163,34977.0,35298.0,36432.0
39165,67172.0,70245.0,73598.0
39167,41231.0,42211.0,41747.0
39169,46157.0,46842.0,47859.0
39171,41791.0,40856.0,42418.0
39173,49344.0,50624.0,50534.0
39175,43753.0,45555.0,46327.0
40001,30190.0,31680.0,31544.0
40003,35615.0,38852.0,43892.0
40005,33304.0,34673.0,36614.0
40007,48158.0,49683.0,52134.0
40009,41277.0,43565.0,50342.0
40011,44558.0,37882.0,40797.0
40013,36925.0,34276.0,37157.0
40015,36077.0,38583.0,34246.0
40017,57018.0,60225.0,62984.0
40019,37316.0,40122.0,45787.0
40021,33393.0,34968.0,35482.0
40023,29476.0,28598.0,30115.0
40025,36183.0,38572.0,39376.0
40027,51468.0,51900.0,54036.0
40029,33472.0,35475.0,33185.0
40031,43394.0,44286.0,44726.0
40033,39941.0,38129.0,38044.0
40035,36407.0,36996.0,37586.0
40037,41331.0,41000.0,44130.0
40039,40741.0,41678.0,44842.0
40041,32878.0,35936.0,36765.0
40043,39731.0,41124.0,45763.0
40045,40851.0,42728.0,49545.0
40047,38827.0,42800.0,45370.0
40049,37689.0,37878.0,37980.0
40051,44036.0,45688.0,47619.0
40053,37938.0,40691.0,45138.0
40055,33199.0,34350.0,33761.0
40057,28914.0,30329.0,28570.0
40059,41437.0,43198.0,47375.0
40061,32551.0,33309.0,32746.0
40063,30699.0,30888.0,30949.0
40065,39565.0,40129.0,40024.0
40067,29992.0,30755.0,31684.0
40069,32247.0,35713.0,36135.0
40071,38775.0,39152.0,39591.0
40073,48255.0,53050.0,53332.0
40075,31850.0,35977.0,36329.0
40077,35306.0,35660.0,35649.0
40079,33624.0,34131.0,32778.0
40081,40076.0,38058.0,44149.0
40083,49006.0,48346.0,51642.0
40085,41784.0,40853.0,43083.0
40087,51767.0,54633.0,54495.0
40089,30708.0,29614.0,30712.0
40091,33771.0,32487.0,33031.0
40093,44736.0,45374.0,49718.0
40095,34924.0,35610.0,36096.0
40097,40253.0,40229.0,38724.0
40099,39629.0,39914.0,42510.0
40101,38528.0,35443.0,37103.0
40103,41580.0,43416.0,43922.0
40105,38040.0,38453.0,38497.0
40107,31423.0,31150.0,31556.0
40109,42758.0,43101.0,43623.0
40111,36119.0,35226.0,38216.0
40113,41589.0,43170.0,44528.0
40115,34998.0,34431.0,34581.0
40117,38550.0,41938.0,44198.0
40119,36874.0,37075.0,37874.0
40121,38154.0,41712.0,40080.0
40123,38514.0,40378.0,37492.0
40125,38259.0,41520.0,42255.0
40127,30070.0,30190.0,30604.0
40129,44595.0,50761.0,49443.0
40131,56107.0,54974.0,56547.0
40133,33080.0,32976.0,33940.0
40135,35250.0,36080.0,34195.0
40137,40996.0,43765.0,43405.0
40139,44313.0,44550.0,45199.0
40141,30364.0,32122.0,32382.0
40143,44231.0,46497.0,47371.0
40145,56216.0,52717.0,54839.0
40147,45957.0,47645.0,48851.0
40149,40523.0,45374.0,43590.0
40151,37981.0,38688.0,49416.0
40153,48584.0,48420.0,49070.0
41001,37868.0,36877.0,37025.0
41003,49156.0,46272.0,51890.0
41005,57960.0,58496.0,64231.0
41007,44234.0,43544.0,43202.0
41009,50707.0,55646.0,53250.0
41011,36216.0,36567.0,36057.0
41013,39867.0,37473.0,41232.0
41015,36994.0,39958.0,34854.0
41017,46631.0,47924.0,48591.0
41019,36991.0,38196.0,39399.0
41021,45827.0,49378.0,49735.0
41023,36792.0,37191.0,37177.0
41025,36441.0,35141.0,35848.0
41027,49490.0,48516.0,53023.0
41029,40603.0,40013.0,44392.0
41031,40888.0,40910.0,41426.0
