fips,poor_or_fair_health_percent,poor_physical_health_days,poor_mental_health_days,low_birthweight_percent,smokers_percent,obesity_percent,food_environment_index,physically_inactive_percent,access_to_exercise_percent,excessive_drinking_percent,alcohol_impaired_driving_death_rate,STI_rate,teen_birth_rate,uninsured_percent,primary_care_physician_rate,dentist_rate,mental_health_provider_rate,mammography_screening_percent,high_school_cohort_size,high_school_graduation_rate,some_college_percent,unemployment_percent,children_in_poverty_percent,income_inequality,single_parent_households_percent,violent_crime_rate,injury_death_rate,particulate_matter,severe_housing_problems_percent,drive_alone_percent,Driving alone to work - 95% CI - Low - 2016,long_commute_percent,child_mortality_rate,infant_mortality_rate,frequent_physical_distress_percent,diabetic_percent,HIV_rate,food_insecure_percent,limited_access_to_food_percent,drug_overdose_mortality_rate,motor_vehicle_mortality_rate,insufficient_sleep_percent,uninsured_adults_percent,uninsured_children_percent,median_household_income,free_lunch_percent,segregation_black_to_white,segregation_nonwhite_to_white,homicide_rate,population_2016,age_under_18_percent,age_65_or_older_percent,black_percent,american_indian_percent,asian_percent,hawaiian_or_pac_islander_percent,hispanic_percent,white_non_hispanic_percent,not_proficient_in_english_percent,female_percent,rural_percent
48309,18.8,3.8,3.3,8.009408269,16.9,30.3,5.3,28.3,73.46811065,17.6,32.10526316,685.7779621,46.66620412,23.18838425,67.91425,45.59626,126.10858,57,2865,90.01256545,58.96615534,5.085076907,27.8,5.198945519,36.94597986,478.2961574,55.25854673,9.17,19.38903114,81.70791017,80.49038998,15.4,58.45316232,7.440783763,11.6,11,191.044837,20.7,12.5016497,7.876964577,17.00063676,32.2,28.23224888,11.71175555,43488,55.36620004,47.26999754,40.59856423,5,243441,24.80929671,13.41392781,14.23671444,1.101704314,1.602441659,0.110499053,25.16051117,57.34941937,4.0685398,51.19063757,23.35189395
48311,18.7,3.5,3.1,,14.3,31.3,5.9,29,18.10466761,16.2,4.166666667,,,18.11965812,0,0,0,,,,51.59235669,1.700984781,13.5,3.955402214,24.41860465,281.8224519,,8.28,5.172413793,78.01204819,56.13752838,20.8,,,10.9,13.5,,10.5,28.40586118,,,31.5,18.93764434,15.2866242,61571,20.08032129,,,,805,20.49689441,22.85714286,1.242236025,0.49689441,0.49689441,0,37.76397516,59.37888199,7.154471545,48.81987578,100
48313,20.6,3.9,3.3,7.111111111,18.5,30.7,6.1,29,38.35626464,17.7,18.18181818,409.4465161,60.21126761,28.36620926,21.7691,36.07243,28.85795,46,169,95.76923077,35.55146212,4.866995074,28.3,4.295046623,36.26849513,206.8849383,65.83567416,8.73,11.83844011,75.33436214,70.56830071,30.8,,,12.1,11.3,215.1092755,21.1,4.471232462,,27.3554632,34.4,33.80959776,16.88055281,39030,64.23611111,44.04385134,38.55527675,,13861,21.48474136,14.72476733,19.39975471,1.11103095,0.822451483,0.04328692,22.16290311,55.96998774,2.171263142,42.04602843,67.40339579
48315,17.8,3.8,3.4,8.111702128,16.5,33,5.4,33.4,37.59719325,14.9,40,242.1542038,57.2597137,25.46314041,9.7704,9.85319,9.85319,50,86,92.5,54.84611851,6.340057637,35.6,5.757897256,28.4793122,550.3783851,89.89881601,10.55,16.01731602,79.75217506,74.2596389,57.3,,,11.4,14.3,201.2072435,23.8,4.938341367,,33.79291701,33.2,28.41575859,16.6244298,34452,65.78099839,26.73124413,26.23383975,,10149,18.3761947,23.58853089,21.88392945,1.133116563,0.699576313,0.029559563,4.06936644,70.71632673,0.29364115,51.10848359,100
48317,19.6,3.6,3.2,9.090909091,15.5,29.9,7.4,30,,18.2,16,358.7801475,76.15384615,24.89168111,18.8253,18.31502,,46,,,40.37005887,3.366629671,16.5,4.748956522,26.12903226,169.987081,76.69949944,9.83,12.41830065,76.59765977,70.0334948,28.8,,,11.2,11,,12.7,9.457319994,,,31.9,28.75326371,17.53846154,61896,43.70922647,,0.678832807,,5460,30.23809524,12.17948718,1.703296703,1.3003663,0.293040293,0.091575092,45.6043956,51.11721612,6.653829696,50.2014652,100
48319,14.9,3.1,2.9,9.2,12.4,28.3,7.4,28.9,67.24825523,15.7,0,149.8875843,30.54448871,39.4963552,24.22481,24.56399,49.12798,58,,,62.5,4.639175258,25.1,3.92124978,36.01070951,49.37458855,69.62056791,9.1,7.396449704,73.97769517,67.35516373,20.9,,,9.5,12.5,,14.8,4.164145408,,,28.4,42.79700655,31.87633262,42820,48.32402235,,41.4871284,,4071,20.14247114,27.38884795,0.638663719,0.638663719,0.245639892,0.245639892,23.75337755,74.3306313,3.469704816,50.30704987,100
48321,22.8,3.9,3.3,9.093369418,16.8,33.4,5.4,26.9,69.2687047,15.5,52.94117647,465.1544586,60.94091904,25.61230488,32.79405,32.85961,32.85961,54,478,90.59100418,41.69109886,7.814349988,30.1,6.064310545,39.06871707,284.2131688,76.40711896,8.83,14.5802099,80.7972454,77.14636484,27.4,84.62026655,5.909213,12.4,13.7,197.6416991,18.9,15.69675031,12.76696639,24.96206936,33.9,31.0197246,13.46913324,41587,62.89056927,50.8146951,34.69941521,8,36519,25.46071908,15.83011583,10.61912977,1.251403379,2.193378789,0.120485227,40.3762425,45.7241436,6.560075241,50.19031189,36.41763392
48323,38.3,5.2,3.9,7.21691127,18.3,30.1,5.8,28,73.73290575,14.2,8.695652174,453.3550077,75.63074061,33.76620708,30.39405,21.04414,22.79782,42,1090,85,46.17464377,10.88435374,35.5,5.392095495,31.15627575,291.7543236,41.18165849,8.98,27.08737864,77.11326598,73.4568772,15,48.04722356,3.243243243,18,17.5,124.9616863,13.2,23.19792584,,14.8167355,36.8,43.98468179,16.60753058,32248,67.51689413,,19.46135859,,57023,31.90993108,11.41995335,0.287603248,1.497641303,0.526103502,0.036827245,95.10022272,3.142591586,26.78378432,50.5953738,9.25577795
48325,19.6,3.6,3.1,8.767709169,13.5,31.8,7.5,27.5,57.35121506,18.2,27.77777778,346.4129156,45.49574044,23.56951802,25.31699,20.87944,27.14327,59,623,93.65569823,53.03356669,4.825956996,21.9,4.495150427,30.67780553,179.3111524,51.69249856,8.39,16.47745702,82.53467844,80.09208999,48.8,42.88900326,,11.1,12.5,77.27776204,12.8,7.563598124,,16.15659469,32.2,27.94624139,14.02550091,53440,49.36979061,61.38181884,14.01154765,5.4,47894,23.91740093,15.5050737,2.284210966,0.970894058,0.935399006,0.133628429,50.89781601,44.89497641,2.769963702,48.36722763,61.55501456
48327,19.5,3.6,3.2,,13.3,28.7,6.9,31,5.263157895,13.7,11.11111111,,52.08333333,35.14950166,46.55493,46.57662,,,,,55.3030303,4.661487236,39.8,5.003344482,37.63250883,161.0777566,116.8959626,9.52,12.64367816,78.10218978,67.42488739,30.1,,,11.3,15.4,,17.3,4.362840996,,,29.8,39.23487545,23.54368932,32580,62.64705882,,,,2147,17.60596181,30.13507219,1.443875175,1.443875175,0.279459711,0.093153237,35.35165347,62.22636237,5.097665555,50.02328831,100
